pair,row,label,source_path,copied_path,PSNR_dB
pair1,input,Input,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair1/m_input.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair1/input.png,
pair1,errnet,ERRNet,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair1/rpt_gpu_baseline.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair1/errnet.png,18.64
pair1,best_realistic_cascade,Realistic Cascade,ERRNet/results/reflection_pairs_tight_eval/Realistic_Cascade/pair1/rpt_gpu_realistic_cascade.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair1/best_realistic_cascade.png,19.16
pair2,input,Input,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair2/m_input.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair2/input.png,
pair2,errnet,ERRNet,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair2/rpt_gpu_baseline.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair2/errnet.png,16.19
pair2,best_realistic_cascade,Realistic Cascade,ERRNet/results/reflection_pairs_tight_eval/Realistic_Cascade/pair2/rpt_gpu_realistic_cascade.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair2/best_realistic_cascade.png,17.15
pair3,input,Input,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair3/m_input.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair3/input.png,
pair3,errnet,ERRNet,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair3/rpt_gpu_baseline.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair3/errnet.png,19.05
pair3,best_realistic_cascade,Realistic Cascade,ERRNet/results/reflection_pairs_tight_eval/Realistic_Cascade/pair3/rpt_gpu_realistic_cascade.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair3/best_realistic_cascade.png,19.76
pair4,input,Input,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair4/m_input.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair4/input.png,
pair4,errnet,ERRNet,ERRNet/results/reflection_pairs_tight_eval/Baseline/pair4/rpt_gpu_baseline.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair4/errnet.png,15.57
pair4,best_realistic_cascade,Realistic Cascade,ERRNet/results/reflection_pairs_tight_eval/Realistic_Cascade/pair4/rpt_gpu_realistic_cascade.png,ERRNet/paper_visuals/selected_images/reflection_pairs_tight_horizontal_nogt/pair4/best_realistic_cascade.png,16.03
