dataset,images,method,PSNR,SSIM,NCC,LMSE
CEILNet synthetic,100,XReflection-RDNet,27.132373,0.937009,0.978299,0.004284
CEILNet synthetic,100,RDNet + NAFNet Refiner (fair),28.365217,0.940658,0.982139,0.004204
CEILNet synthetic,100,RDNet + Learned Confidence Gate,28.405178,0.941581,0.981840,0.004211
real20,20,XReflection-RDNet,23.248466,0.797451,0.890640,0.014704
real20,20,RDNet + NAFNet Refiner (fair),23.412205,0.803321,0.894737,0.014871
real20,20,RDNet + Learned Confidence Gate,23.242354,0.800606,0.894052,0.015206
SIR2 with GT,480,XReflection-RDNet,26.224252,0.916725,0.978167,0.002898
SIR2 with GT,480,RDNet + NAFNet Refiner (fair),26.017137,0.914021,0.977928,0.003007
SIR2 with GT,480,RDNet + Learned Confidence Gate,25.975069,0.912817,0.977404,0.003075
SIR2 Objects,200,XReflection-RDNet,26.588745,0.916687,0.987860,0.002421
SIR2 Objects,200,RDNet + NAFNet Refiner (fair),26.683759,0.915412,0.988228,0.002460
SIR2 Objects,200,RDNet + Learned Confidence Gate,26.688659,0.915598,0.988008,0.002471
SIR2 Postcard,179,XReflection-RDNet,25.624858,0.914443,0.976413,0.002968
SIR2 Postcard,179,RDNet + NAFNet Refiner (fair),24.969473,0.909079,0.975080,0.003194
SIR2 Postcard,179,RDNet + Learned Confidence Gate,24.884202,0.906233,0.974068,0.003324
SIR2 Wild,101,XReflection-RDNet,26.564778,0.920846,0.962081,0.003717
SIR2 Wild,101,RDNet + NAFNet Refiner (fair),26.553843,0.920028,0.962580,0.003761
SIR2 Wild,101,RDNet + Learned Confidence Gate,26.495340,0.918980,0.962321,0.003831
self-collected 5,5,XReflection-RDNet,17.525800,0.517742,0.752044,0.093545
self-collected 5,5,RDNet + NAFNet Refiner (fair),17.505831,0.516084,0.751842,0.093521
self-collected 5,5,RDNet + Learned Confidence Gate,17.501835,0.513619,0.750673,0.094032
