epoch,train_loss,train_l1,train_ref,train_bg,train_grad,val_psnr,val_ssim,val_lmse,lr
1,0.08932958,0.02466027,0.06109928,0.00510724,0.02293228,29.76538083,0.94620448,0.00331548,0.0001000000
2,0.08961969,0.02475178,0.06116304,0.00546161,0.02339470,29.72776689,0.94581371,0.00331269,0.0001000000
3,0.08747263,0.02422358,0.05956348,0.00550446,0.02309446,29.83578817,0.94643107,0.00331182,0.0001000000
4,0.08824768,0.02436076,0.06020092,0.00558155,0.02290614,29.84073271,0.94620261,0.00334786,0.0001000000
5,0.08807472,0.02429048,0.06007853,0.00565418,0.02292156,29.86495653,0.94620535,0.00333676,0.0001000000
6,0.08786457,0.02422908,0.05988788,0.00583413,0.02289082,29.87174078,0.94649212,0.00331801,0.0001000000
7,0.08833176,0.02427703,0.06027715,0.00593092,0.02294855,29.82610540,0.94580579,0.00334728,0.0001000000
8,0.08736391,0.02402538,0.05955710,0.00601654,0.02277299,29.89019656,0.94639897,0.00331287,0.0001000000
9,0.08625308,0.02381131,0.05862264,0.00609629,0.02295054,29.88209012,0.94650212,0.00330176,0.0001000000
10,0.08707977,0.02400210,0.05919752,0.00624282,0.02319448,29.82014556,0.94642911,0.00329101,0.0001000000
11,0.08749430,0.02406400,0.05958578,0.00625913,0.02279733,29.86014293,0.94636693,0.00335413,0.0001000000
12,0.08577134,0.02365109,0.05823070,0.00644240,0.02278948,29.89616401,0.94646370,0.00332402,0.0001000000
13,0.08706641,0.02398750,0.05914455,0.00634631,0.02347788,29.81940518,0.94646442,0.00328703,0.0001000000
14,0.08596719,0.02372299,0.05830459,0.00639010,0.02342083,29.82228708,0.94586939,0.00339723,0.0001000000
15,0.08473468,0.02346076,0.05738509,0.00638766,0.02291918,29.83767356,0.94613529,0.00334216,0.0001000000
16,0.08622109,0.02377222,0.05853398,0.00646602,0.02298386,29.88928869,0.94655383,0.00328491,0.0001000000
17,0.08483787,0.02334452,0.05759946,0.00663038,0.02236293,29.87574623,0.94610974,0.00339634,0.0001000000
18,0.08413707,0.02310703,0.05712087,0.00659218,0.02261127,29.95594927,0.94686493,0.00328606,0.0001000000
19,0.08291667,0.02293779,0.05606889,0.00647635,0.02290903,29.94720926,0.94679322,0.00327924,0.0001000000
20,0.08390362,0.02311876,0.05682336,0.00673716,0.02277219,29.94513243,0.94667633,0.00332598,0.0001000000
